# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   22314   2   -4.100450    9.751068E-05    7.505466E-05    4.961508E+02    6.445969E+02
   22609   2   -4.101204    1.031010E-04    7.986629E-05    4.692484E+02    6.057625E+02
   22610   2   -4.105285    1.307784E-04    1.016085E-04    3.699387E+02    4.761411E+02
   22611   2   -4.108366    1.479996E-04    1.151690E-04    3.268927E+02    4.200783E+02
   22612   2   -4.110421    1.572915E-04    1.224309E-04    3.075817E+02    3.951616E+02
   22613   2   -4.111435    1.613083E-04    1.254277E-04    2.999226E+02    3.857202E+02
   22614   2   -4.111399    1.614189E-04    1.252219E-04    2.997171E+02    3.863541E+02
   22615   2   -4.110316    1.575558E-04    1.217820E-04    3.070659E+02    3.972671E+02
   22616   2   -4.108197    1.482114E-04    1.139952E-04    3.264256E+02    4.244040E+02
   22617   2   -4.105060    1.306224E-04    9.984417E-05    3.703805E+02    4.845551E+02
   22618   2   -4.100935    1.023296E-04    7.763732E-05    4.727861E+02    6.231539E+02
   22907   2   -4.103833    1.222311E-04    9.495558E-05    3.958075E+02    5.095014E+02
   22908   2   -4.109448    1.538309E-04    1.201347E-04    3.145011E+02    4.027147E+02
   22909   2   -4.114101    1.697338E-04    1.330660E-04    2.850346E+02    3.635789E+02
   22910   2   -4.117754    1.765268E-04    1.387401E-04    2.740660E+02    3.487096E+02
   22911   2   -4.120376    1.792507E-04    1.410428E-04    2.699013E+02    3.430165E+02
   22912   2   -4.121947    1.803460E-04    1.418716E-04    2.682621E+02    3.410125E+02
   22913   2   -4.122455    1.807549E-04    1.419657E-04    2.676553E+02    3.407865E+02
   22914   2   -4.121896    1.807032E-04    1.415052E-04    2.677318E+02    3.418956E+02
   22915   2   -4.120277    1.799262E-04    1.402865E-04    2.688880E+02    3.448656E+02
   22916   2   -4.117612    1.774191E-04    1.375375E-04    2.726877E+02    3.517586E+02
   22917   2   -4.113927    1.706299E-04    1.313227E-04    2.835376E+02    3.684056E+02
   22918   2   -4.109253    1.543785E-04    1.177914E-04    3.133856E+02    4.107260E+02
   22919   2   -4.103631    1.221115E-04    9.225686E-05    3.961954E+02    5.244055E+02
   23205   2   -4.103912    1.237091E-04    9.610117E-05    3.910788E+02    5.034278E+02
   23206   2   -4.110997    1.612783E-04    1.262573E-04    2.999783E+02    3.831858E+02
   23207   2   -4.117176    1.767742E-04    1.392636E-04    2.736825E+02    3.473988E+02
   23208   2   -4.122401    1.813091E-04    1.435431E-04    2.668371E+02    3.370416E+02
   23209   2   -4.126628    1.822528E-04    1.447902E-04    2.654554E+02    3.341387E+02
   23210   2   -4.129825    1.823134E-04    1.451204E-04    2.653672E+02    3.333784E+02
   23211   2   -4.131964    1.822515E-04    1.451403E-04    2.654573E+02    3.333326E+02
   23212   2   -4.133029    1.822585E-04    1.450114E-04    2.654472E+02    3.336289E+02
   23213   2   -4.133013    1.823771E-04    1.447748E-04    2.652745E+02    3.341742E+02
   23214   2   -4.131915    1.826033E-04    1.444288E-04    2.649459E+02    3.349746E+02
   23215   2   -4.129748    1.828847E-04    1.439284E-04    2.645382E+02    3.361394E+02
   23216   2   -4.126531    1.830148E-04    1.431037E-04    2.643502E+02    3.380764E+02
   23217   2   -4.122293    1.822008E-04    1.413328E-04    2.655312E+02    3.423126E+02
   23218   2   -4.117070    1.776679E-04    1.364960E-04    2.723058E+02    3.544427E+02
   23219   2   -4.110907    1.619746E-04    1.230471E-04    2.986888E+02    3.931827E+02
   23220   2   -4.103853    1.241075E-04    9.311689E-05    3.898234E+02    5.195620E+02
   23503   2   -4.101556    1.080865E-04    8.368889E-05    4.476046E+02    5.780934E+02
   23504   2   -4.110017    1.585988E-04    1.240623E-04    3.050465E+02    3.899655E+02
   23505   2   -4.117645    1.787021E-04    1.410217E-04    2.707299E+02    3.430677E+02
   23506   2   -4.124381    1.831452E-04    1.456075E-04    2.641619E+02    3.322632E+02
   23507   2   -4.130173    1.833709E-04    1.466491E-04    2.638369E+02    3.299031E+02
   23508   2   -4.134975    1.829203E-04    1.469125E-04    2.644868E+02    3.293117E+02
   23509   2   -4.138749    1.824950E-04    1.469605E-04    2.651032E+02    3.292042E+02
   23510   2   -4.141464    1.822006E-04    1.468916E-04    2.655315E+02    3.293586E+02
   23511   2   -4.143098    1.820431E-04    1.467247E-04    2.657613E+02    3.297332E+02
   23512   2   -4.143638    1.820171E-04    1.464662E-04    2.657991E+02    3.303152E+02
   23513   2   -4.143081    1.821201E-04    1.461186E-04    2.656489E+02    3.311010E+02
   23514   2   -4.141434    1.823525E-04    1.456804E-04    2.653104E+02    3.320968E+02
   23515   2   -4.138711    1.827163E-04    1.451458E-04    2.647821E+02    3.333200E+02
   23516   2   -4.134938    1.832007E-04    1.444954E-04    2.640819E+02    3.348204E+02
   23517   2   -4.130146    1.836931E-04    1.436286E-04    2.633741E+02    3.368411E+02
   23518   2   -4.124376    1.834869E-04    1.419860E-04    2.636701E+02    3.407378E+02
